year,sex,age,suicides_no
1979,female,15-24 years,4266
1979,female,25-34 years,4569
1979,female,35-54 years,8845
1979,female,5-14 years,246
1979,female,55-74 years,8334
1979,female,75+ years,3158
1979,male,15-24 years,10435
1979,male,25-34 years,12580
1979,male,35-54 years,19769
1979,male,5-14 years,389
1979,male,55-74 years,14936
1979,male,75+ years,5263
1980,female,15-24 years,6077
1980,female,25-34 years,6292
1980,female,35-54 years,13305
1980,female,5-14 years,320
1980,female,55-74 years,11955
1980,female,75+ years,4713
1980,male,15-24 years,17044
1980,male,25-34 years,23066
1980,male,35-54 years,40220
1980,male,5-14 years,679
1980,male,55-74 years,22611
1980,male,75+ years,7266
1981,female,15-24 years,6520
1981,female,25-34 years,6919
1981,female,35-54 years,14863
1981,female,5-14 years,381
1981,female,55-74 years,13682
1981,female,75+ years,5165
1981,male,15-24 years,18670
1981,male,25-34 years,27450
1981,male,35-54 years,49143
1981,male,5-14 years,805
1981,male,55-74 years,26320
1981,male,75+ years,8096
1982,female,15-24 years,6201
1982,female,25-34 years,6919
1982,female,35-54 years,14735
1982,female,5-14 years,346
1982,female,55-74 years,13967
1982,female,75+ years,5513
1982,male,15-24 years,18867
1982,male,25-34 years,28617
1982,male,35-54 years,50282
1982,male,5-14 years,815
1982,male,55-74 years,27895
1982,male,75+ years,8736
1983,female,15-24 years,5255
1983,female,25-34 years,5364
1983,female,35-54 years,9982
1983,female,5-14 years,352
1983,female,55-74 years,9681
1983,female,75+ years,4189
1983,male,15-24 years,13133
1983,male,25-34 years,17090
1983,male,35-54 years,28490
1983,male,5-14 years,641
1983,male,55-74 years,20594
1983,male,75+ years,7659
1984,female,15-24 years,5029
1984,female,25-34 years,5219
1984,female,35-54 years,10252
1984,female,5-14 years,349
1984,female,55-74 years,9717
1984,female,75+ years,4245
1984,male,15-24 years,13196
1984,male,25-34 years,17278
1984,male,35-54 years,29408
1984,male,5-14 years,643
1984,male,55-74 years,21095
1984,male,75+ years,7996
1985,female,15-24 years,6068
1985,female,25-34 years,7091
1985,female,35-54 years,15313
1985,female,5-14 years,454
1985,female,55-74 years,15039
1985,female,75+ years,6452
1985,male,15-24 years,19497
1985,male,25-34 years,30262
1985,male,35-54 years,53134
1985,male,5-14 years,988
1985,male,55-74 years,32604
1985,male,75+ years,10631
1986,female,15-24 years,6148
1986,female,25-34 years,7054
1986,female,35-54 years,15199
1986,female,5-14 years,417
1986,female,55-74 years,15481
1986,female,75+ years,7218
1986,male,15-24 years,18461
1986,male,25-34 years,27543
1986,male,35-54 years,47541
1986,male,5-14 years,1115
1986,male,55-74 years,31781
1986,male,75+ years,11267
1987,female,15-24 years,5264
1987,female,25-34 years,6669
1987,female,35-54 years,14856
1987,female,5-14 years,372
1987,female,55-74 years,15694
1987,female,75+ years,7396
1987,male,15-24 years,16796
1987,male,25-34 years,27098
1987,male,35-54 years,47321
